arr_delay_over_30,distance,origin,month,day_of_week,dep_delay,scheduled_dep_hour,scheduled_dep_minute
TRUE,2298,LAS,January,Thursday,59,16,40
FALSE,1050,MCO,January,Thursday,3,16,45
TRUE,1050,MCO,January,Thursday,27,10,30
FALSE,1050,MCO,January,Thursday,4,7,25
FALSE,777,MDW,January,Thursday,30,19,0
TRUE,777,MDW,January,Thursday,33,13,50
TRUE,1111,TPA,January,Thursday,28,10,45
FALSE,1111,TPA,January,Thursday,23,15,25
FALSE,852,BNA,January,Friday,21,18,35
FALSE,283,BWI,January,Friday,3,19,55
FALSE,283,BWI,January,Friday,-3,20,30
FALSE,283,BWI,January,Friday,-3,13,35
FALSE,283,BWI,January,Friday,11,21,25
FALSE,283,BWI,January,Friday,2,8,35
FALSE,283,BWI,January,Friday,0,15,45
FALSE,283,BWI,January,Friday,-2,10,30
FALSE,283,BWI,January,Friday,11,17,40
FALSE,283,BWI,January,Friday,-2,6,35
TRUE,2298,LAS,January,Friday,159,16,40
FALSE,1050,MCO,January,Friday,24,16,45
FALSE,1050,MCO,January,Friday,-2,10,30
FALSE,1050,MCO,January,Friday,0,7,25
FALSE,777,MDW,January,Friday,14,19,0
FALSE,777,MDW,January,Friday,4,8,45
FALSE,777,MDW,January,Friday,1,13,50
FALSE,1111,TPA,January,Friday,0,10,45
FALSE,1111,TPA,January,Friday,4,15,25
TRUE,852,BNA,January,Saturday,46,18,35
FALSE,283,BWI,January,Saturday,14,19,55
TRUE,283,BWI,January,Saturday,41,20,30
TRUE,283,BWI,January,Saturday,77,13,35
TRUE,283,BWI,January,Saturday,35,15,45
FALSE,283,BWI,January,Saturday,2,8,35
FALSE,283,BWI,January,Saturday,-5,10,30
FALSE,283,BWI,January,Saturday,-3,17,40
TRUE,2298,LAS,January,Saturday,211,16,40
FALSE,1050,MCO,January,Saturday,-2,7,35
TRUE,1050,MCO,January,Saturday,43,16,45
FALSE,1050,MCO,January,Saturday,0,10,30
FALSE,777,MDW,January,Saturday,15,19,15
FALSE,777,MDW,January,Saturday,2,8,45
FALSE,777,MDW,January,Saturday,-1,13,50
FALSE,1111,TPA,January,Saturday,7,10,50
TRUE,1111,TPA,January,Saturday,79,15,25
FALSE,852,BNA,January,Sunday,21,18,35
FALSE,283,BWI,January,Sunday,0,19,55
FALSE,283,BWI,January,Sunday,-3,20,30
TRUE,283,BWI,January,Sunday,29,13,35
FALSE,283,BWI,January,Sunday,0,21,25
FALSE,283,BWI,January,Sunday,-5,8,35
FALSE,283,BWI,January,Sunday,-1,15,45
FALSE,283,BWI,January,Sunday,-1,10,30
FALSE,283,BWI,January,Sunday,7,17,40
FALSE,2298,LAS,January,Sunday,28,16,40
FALSE,1050,MCO,January,Sunday,11,16,45
FALSE,1050,MCO,January,Sunday,0,10,30
FALSE,1050,MCO,January,Sunday,0,7,25
FALSE,777,MDW,January,Sunday,19,19,0
FALSE,777,MDW,January,Sunday,13,8,45
FALSE,777,MDW,January,Sunday,-1,13,50
FALSE,1111,TPA,January,Sunday,-1,10,45
FALSE,1111,TPA,January,Sunday,30,15,25
FALSE,852,BNA,January,Monday,1,18,35
FALSE,283,BWI,January,Monday,26,19,55
FALSE,283,BWI,January,Monday,-3,20,30
FALSE,283,BWI,January,Monday,15,13,35
FALSE,283,BWI,January,Monday,1,21,25
FALSE,283,BWI,January,Monday,1,8,35
FALSE,283,BWI,January,Monday,-5,15,45
FALSE,283,BWI,January,Monday,-4,10,30
FALSE,283,BWI,January,Monday,-1,17,40
FALSE,283,BWI,January,Monday,-1,6,35
FALSE,2298,LAS,January,Monday,13,16,40
FALSE,1050,MCO,January,Monday,4,16,45
FALSE,1050,MCO,January,Monday,-2,10,30
FALSE,1050,MCO,January,Monday,-2,7,25
TRUE,777,MDW,January,Monday,163,19,0
FALSE,777,MDW,January,Monday,-1,8,45
FALSE,777,MDW,January,Monday,-2,13,50
FALSE,1111,TPA,January,Monday,-2,10,45
FALSE,1111,TPA,January,Monday,14,15,25
TRUE,852,BNA,January,Tuesday,45,18,35
FALSE,283,BWI,January,Tuesday,-5,19,55
FALSE,283,BWI,January,Tuesday,0,20,30
FALSE,283,BWI,January,Tuesday,-5,13,35
FALSE,283,BWI,January,Tuesday,-3,21,25
FALSE,283,BWI,January,Tuesday,-2,8,35
FALSE,283,BWI,January,Tuesday,-1,15,45
FALSE,283,BWI,January,Tuesday,2,10,30
FALSE,283,BWI,January,Tuesday,25,17,40
FALSE,283,BWI,January,Tuesday,-6,6,35
TRUE,2298,LAS,January,Tuesday,46,16,40
FALSE,1050,MCO,January,Tuesday,0,16,45
FALSE,1050,MCO,January,Tuesday,-1,10,30
FALSE,1050,MCO,January,Tuesday,3,7,25
FALSE,777,MDW,January,Tuesday,8,19,0
FALSE,777,MDW,January,Tuesday,-4,8,45
FALSE,777,MDW,January,Tuesday,3,13,50
FALSE,1111,TPA,January,Tuesday,-3,10,45
FALSE,1111,TPA,January,Tuesday,7,15,25
FALSE,852,BNA,January,Wednesday,-3,18,35
FALSE,283,BWI,January,Wednesday,-4,19,55
FALSE,283,BWI,January,Wednesday,-2,20,30
FALSE,283,BWI,January,Wednesday,-5,13,35
FALSE,283,BWI,January,Wednesday,20,21,25
