season,episode,episode_name,writer,air_date
1,1,Pilot,Ricky Gervais;Stephen Merchant;Greg Daniels,2005-03-24
1,2,Diversity Day,B.J. Novak,2005-03-29
1,3,Health Care,Paul Lieberstein,2005-04-05
1,4,The Alliance,Michael Schur,2005-04-12
1,5,Basketball,Greg Daniels,2005-04-19
1,6,Hot Girl,Mindy Kaling,2005-04-26
2,1,The Dundies,Mindy Kaling,2005-09-20
2,2,Sexual Harassment,B.J. Novak,2005-09-27
2,3,Office Olympics,Michael Schur,2005-10-04
2,4,The Fire,B.J. Novak,2005-10-11
2,5,Halloween,Greg Daniels,2005-10-18
2,6,The Fight,Gene Stupnitsky;Lee Eisenberg,2005-11-01
2,7,The Client,Paul Lieberstein,2005-11-08
2,8,Performance Review,Larry Willmore,2005-11-15
2,9,E-Mail Surveilance,Jennifer Celotta,2005-11-22
2,10,Christmas Party,Michael Schur,2005-12-06
2,11,Booze Cruise,Greg Daniels,2006-01-05
2,12,The Injury,Mindy Kaling,2006-01-12
2,13,The Secret,Lee Eisenberg;Gene Stupnitsky,2006-01-19
2,14,The Carpet,Paul Lieberstein,2006-01-26
2,15,Boys & Girls,B.J. Novak,2006-02-02
2,16,Valentine's Day,Michael Schur,2006-02-09
2,17,Dwight's Speech,Paul Lieberstein,2006-03-02
2,18,Take Your Daughter to Work Day,Mindy Kaling,2006-03-16
2,19,Michael's Birthday,Gene Stupnitsky;Lee Eisenberg,2006-03-30
2,20,Drug Testing,Jennifer Celotta,2006-04-27
2,21,Conflict Resolution,Greg Daniels,2006-05-04
2,22,Casino Night,Steve Carell,2006-05-11
3,1,Gay Witch Hunt,Greg Daniels,2006-09-21
3,2,The Convention,Lee Eisenberg;Gene Stupnitsky,2006-09-28
3,3,The Coup,Paul Lieberstein,2006-10-05
3,4,Grief Counseling,Jennifer Celotta,2006-10-12
3,5,Initiation,B.J. Novak,2006-10-19
3,6,Diwali,Mindy Kaling,2006-11-02
3,7,Branch Closing,Michael Schur,2006-11-09
3,8,The Merger,Brent Forrester,2006-11-16
3,9,The Convict,Ricky Gervais;Stephen Merchant,2006-11-30
3,10,A Benihana Christmas (Parts 1&2),Jennifer Celotta,2006-12-14
3,12,Back from Vacation,Justin Spitzer,2007-01-04
3,13,Traveling Salesmen,Michael Schur;Lee Eisenberg;Gene Stupnitsky,2007-01-11
3,14,The Return,Lee Eisenberg;Gene Stupnitsky;Michael Schur,2007-01-18
3,15,Ben Franklin,Mindy Kaling,2007-02-01
3,16,Phyllis' Wedding,Caroline Williams,2007-02-08
3,17,Business School,Brent Forrester,2007-02-15
3,18,Cocktails,Paul Lieberstein,2007-02-22
3,19,The Negotiation,Michael Schur,2007-04-05
3,20,Safety Training,B.J. Novak,2007-04-12
3,21,Product Recall,Brent Forrester;Justin Spitzer,2007-04-26
3,22,Women's Appreciation,Gene Stupnitsky;Lee Eisenberg,2007-05-03
3,23,Beach Games,Jennifer Celotta;Greg Daniels,2007-05-10
3,24,The Job (Parts 1&2),Paul Lieberstein;Michael Schur,2007-05-17
4,1,Fun Run (Parts 1&2),Greg Daniels,2007-09-27
4,3,Dunder Mifflin Infinity (Parts 1&2),Michael Schur,2007-10-04
4,5,Launch Party (Parts 1&2),Jennifer Celotta,2007-10-11
4,7,Money (Parts 1&2),Paul Lieberstein,2007-10-18
4,9,Local Ad,B.J. Novak,2007-10-25
4,10,Branch Wars,Mindy Kaling,2007-11-01
4,11,Survivor Man,Steve Carell,2007-11-08
4,12,The Deposition,Lester Lewis,2007-11-15
4,13,Dinner Party,Gene Stupnitsky;Lee Eisenberg,2008-04-10
4,14,Chair Model,B.J. Novak,2008-04-17
4,15,Night Out,Mindy Kaling,2008-04-24
4,16,Did I Stutter?,Brent Forrester;Justin Spitzer,2008-05-01
4,17,Job Fair,Lee Eisenberg;Gene Stupnitsky,2008-05-08
4,18,"Goodbye, Toby (Parts 1&2)",Jennifer Celotta;Paul Lieberstein,2008-05-15
5,1,Weight Loss (Parts 1&2),Lee Eisenberg;Gene Stupnitsky,2008-09-25
5,3,Business Ethics,Ryan Koh,2008-10-09
5,4,Baby Shower,Aaron Shure,2008-10-16
5,5,Crime Aid,Charlie Grandy,2008-10-23
5,6,Employee Transfer,Anthony Q. Farrell,2008-10-30
5,7,Customer Survey,Lester Lewis,2008-11-06
5,8,Business Trip,Brent Forrester,2008-11-13
5,9,Frame Toby,Mindy Kaling,2008-11-20
5,10,The Surplus,Gene Stupnitsky;Lee Eisenberg,2008-12-04
5,11,Moroccan Christmas,Justin Spitzer,2008-12-11
5,12,The Duel,Jennifer Celotta,2009-01-15
5,13,Prince Family Paper,B.J. Novak,2009-01-22
5,14,Stress Relief (Parts 1&2),Paul Lieberstein,2009-02-01
5,16,Lecture Circuit (Part 1),Mindy Kaling,2009-02-05
5,17,Lecture Circuit (Part 2),Mindy Kaling,2009-02-12
5,18,Blood Drive,Brent Forrester,2009-03-05
5,19,Golden Ticket,Mindy Kaling,2009-03-12
5,20,New Boss,Lee Eisenberg;Gene Stupnitsky,2009-03-19
5,21,Two Weeks,Aaron Shure,2009-03-26
5,22,Dream Team,B.J. Novak,2009-04-09
5,23,The Michael Scott Paper Company,Justin Spitzer,2009-04-09
5,24,Heavy Competition,Ryan Koh,2009-04-16
5,25,Broke,Charlie Grandy,2009-04-23
5,26,Casual Friday,Anthony Q. Farrell,2009-04-30
5,27,Cafe Disco,Warren Lieberstein;Halsted Sullivan,2009-05-07
5,28,Company Picnic,Jennifer Celotta;Paul Lieberstein,2009-05-14
6,1,Gossip,Paul Lieberstein,2009-09-17
6,2,The Meeting,Aaron Shure,2009-09-24
6,3,The Promotion,Jennifer Celotta,2009-10-01
6,4,Niagara (Parts 1&2),Greg Daniels;Mindy Kaling,2009-10-08
6,6,Mafia,Brent Forrester,2009-10-15
6,7,The Lover,Lee Eisenberg;Gene Stupnitsky,2009-10-22
6,8,Koi Pond,Warren Lieberstein;Halsted Sullivan,2009-10-29
6,9,Double Date,Charlie Grandy,2009-11-05
6,10,Murder,Daniel Chun,2009-11-12
6,11,Shareholder Meeting,Justin Spitzer,2009-11-19
6,12,Scott's Tots,Gene Stupnitsky;Lee Eisenberg,2009-12-03
6,13,Secret Santa,Mindy Kaling,2009-12-10
6,14,The Banker,Jason Kessler,2010-01-21
6,15,Sabre,Jennifer Celotta,2010-02-04
6,16,The Manager and the Salesman,Mindy Kaling,2010-02-11
6,17,The Delivery (Parts 1&2),Daniel Chun;Charlie Grandy,2010-03-04
6,19,St. Patrick's Day,Jonathan Huges,2010-03-11
6,20,New Leads,Brent Forrester,2010-03-18
6,21,Happy Hour,B.J. Novak,2010-03-25
6,22,Secretary's Day,Mindy Kaling,2010-04-22
6,23,Body Language,Justin Spitzer,2010-04-29
6,24,The Cover,Gene Stupnitsky;Lee Eisenberg,2010-05-06
6,25,The Chump,Aaron Shure,2010-05-13
6,26,Whistleblower,Warren Lieberstein;Halsted Sullivan,2010-05-20
7,1,Nepotism,Daniel Chun,2010-09-23
7,2,Counseling,B.J. Novak,2010-09-30
7,3,Andy's Play,Charlie Grandy,2010-10-07
7,4,s*x Ed,Paul Lieberstein,2010-10-14
7,5,The Sting,Mindy Kaling,2010-10-21
7,6,Costume Contest,Justin Spitzer,2010-10-28
7,7,Christening,Peter Ocko,2010-11-04
7,8,Viewing Party,Jon Vitti,2010-11-11
7,9,WUPHF.com,Aaron Shure,2010-11-18
7,10,China,Halsted Sullivan;Warren Lieberstein,2010-12-02
7,11,Classy Christmas (Parts 1&2),Mindy Kaling,2010-12-09
7,13,Ultimatum,Carrie Kemper,2011-01-20
7,14,The Seminar,Steve Hely,2011-01-27
7,15,The Search,Brent Forrester,2011-02-03
7,16,PDA,Robert Padnick,2011-02-10
7,17,Threat Level Midnight,B.J. Novak,2011-02-17
7,18,Todd Packer,Amelie Gillette,2011-02-24
7,19,Garage Sale,Jon Vitti,2011-03-24
7,20,Training Day,Daniel Chun,2011-04-14
7,21,Michael's Last Dundies,Mindy Kaling,2011-04-21
7,22,"Goodbye, Michael",Greg Daniels,2011-04-28
7,23,The Inner Circle,Charlie Grandy,2011-05-05
7,24,"Dwight K. Schrute, (Acting) Manager",Justin Spitzer,2011-05-12
7,25,Search Committee (Parts 1&2),Paul Lieberstein,2011-05-19
8,1,The List,B.J. Novak,2011-09-22
8,2,The Incentive,Paul Lieberstein,2011-09-29
8,3,Lotto,Charlie Grandy,2011-10-06
8,4,Garden Party,Justin Spitzer,2011-10-13
8,5,Spooked,Carrie Kemper,2011-10-27
8,6,Doomsday,Daniel Chun,2011-11-03
8,7,Pam's Replacement,Allison Silverman,2011-11-10
8,8,Gettysburg,Robert Padnick,2011-11-17
8,9,Mrs. California,Dan Greaney,2011-12-01
8,10,Christmas Wishes,Mindy Kaling,2011-12-08
8,11,Trivia,Steve Hely,2012-01-12
8,12,Pool Party,Owen Ellickson,2012-01-19
8,13,Jury Duty,Aaron Shure,2012-02-02
8,14,Special Project,Amelie Gillette,2012-02-09
8,15,Tallahassee,Daniel Chun,2012-02-16
8,16,After Hours,Halsted Sullivan;Warren Lieberstein,2012-02-23
8,17,Test The Store,Mindy Kaling,2012-03-01
8,18,Last Day In Florida,Robert Padnick,2012-03-08
8,19,Get The Girl,Charlie Grandy,2012-03-15
8,20,Welcome Party,Steve Hely,2012-04-12
8,21,Angry Andy,Justin Spitzer,2012-04-19
8,22,Fundraiser,Owen Ellickson,2012-04-26
8,23,Turf War,Warren Lieberstein;Halsted Sullivan,2012-05-03
8,24,Free Family Portrait Studio,B.J. Novak,2012-05-10
9,1,The New Guys,Greg Daniels,2012-09-20
9,2,Roy's Wedding,Allison Silverman,2012-09-27
9,3,Andy's Ancestry,Jonathan Green;Gabe Miller,2012-10-04
9,4,Work Bus,Brent Forrester,2012-10-18
9,5,Here Comes Treble,Owen Ellickson,2012-10-25
9,6,The Boat,Dan Sterling,2012-11-08
9,7,The Whale,Carrie Kemper,2012-11-15
9,8,The Target,Graham Wagner,2012-11-29
9,9,Dwight Christmas,Robert Padnick,2012-12-06
9,10,Lice,Nicki Schwartz-Wright,2013-01-10
9,11,Suit Warehouse,Dan Greaney,2013-01-17
9,12,Customer Loyalty,Jonathan Green;Gabe Miller,2013-01-24
9,13,Junior Salesman,Carrie Kemper,2013-01-31
9,14,Vandalism,Owen Ellickson,2013-01-31
9,15,Couples Discount,Allison Silverman,2013-02-07
9,16,Moving On,Graham Wagner,2013-02-14
9,17,The Farm,Paul Lieberstein,2013-03-14
9,18,Promos,Tim McAuliffe,2013-04-04
9,19,Stairmageddon,Dan Sterling,2013-04-11
9,20,Paper Airplane,Halsted Sullivan;Warren Lieberstein,2013-04-25
9,21,Livin' the Dream,Nicki Schwartz-Wright,2013-05-02
9,22,A.A.R.M,Brent Forrester,2013-05-09
9,24,Finale,Greg Daniels,2013-05-16
